SKU,Date,Qty,Amount,Category,sales_last_7_days,day_of_week,month,previous_day_sales,previous_week_sales,previous_2_day_sales,previous_3_day_sales,rolling_mean_3,rolling_mean_7
BL009-61BLACK-B,2022-06-10,1,494.0,Blouse,7.0,4,6,1.0,1.0,1.0,1.0,1.0,1.0
BL021-71BLACK,2022-05-13,1,418.0,Blouse,9.0,4,5,1.0,1.0,1.0,1.0,1.0,1.2857142857142858
BL021-71BLACK,2022-05-14,1,418.0,Blouse,9.0,5,5,1.0,1.0,1.0,1.0,1.0,1.2857142857142858
BL021-71BLACK,2022-05-16,1,418.0,Blouse,9.0,0,5,1.0,1.0,1.0,1.0,1.0,1.2857142857142858
BL021-71BLACK,2022-05-20,2,836.0,Blouse,8.0,4,5,1.0,3.0,1.0,1.0,1.3333333333333333,1.1428571428571428
BL021-71BLACK,2022-05-26,1,418.0,Blouse,8.0,3,5,2.0,1.0,1.0,1.0,1.3333333333333333,1.1428571428571428
BL021-71BLACK,2022-05-31,1,418.0,Blouse,8.0,1,5,1.0,1.0,2.0,1.0,1.3333333333333333,1.1428571428571428
BL021-71BLACK,2022-06-14,1,418.0,Blouse,8.0,1,6,1.0,1.0,1.0,2.0,1.0,1.1428571428571428
BL021-71BLACK,2022-06-15,1,418.0,Blouse,8.0,2,6,1.0,1.0,1.0,1.0,1.0,1.1428571428571428
BL035-161GOLD,2022-06-28,1,377.0,Blouse,9.0,1,6,1.0,2.0,1.0,1.0,1.0,1.2857142857142858
J0002-SKD-L,2022-05-15,2,2372.0,Set,8.0,6,5,1.0,1.0,1.0,1.0,1.3333333333333333,1.1428571428571428
J0002-SKD-L,2022-05-20,1,1186.0,Set,8.0,4,5,2.0,1.0,1.0,1.0,1.3333333333333333,1.1428571428571428
J0002-SKD-L,2022-05-22,1,1186.0,Set,8.0,6,5,1.0,1.0,2.0,1.0,1.3333333333333333,1.1428571428571428
J0002-SKD-L,2022-05-25,1,1186.0,Set,8.0,2,5,1.0,1.0,1.0,2.0,1.0,1.1428571428571428
J0002-SKD-L,2022-05-26,2,2372.0,Set,9.0,3,5,1.0,1.0,1.0,1.0,1.3333333333333333,1.2857142857142858
J0002-SKD-L,2022-05-28,2,2372.0,Set,10.0,5,5,2.0,1.0,1.0,1.0,1.6666666666666667,1.4285714285714286
J0002-SKD-L,2022-06-02,1,1125.0,Set,10.0,3,6,2.0,1.0,2.0,1.0,1.6666666666666667,1.4285714285714286
J0002-SKD-L,2022-06-03,1,1125.0,Set,9.0,4,6,1.0,2.0,2.0,2.0,1.3333333333333333,1.2857142857142858
J0002-SKD-L,2022-06-04,1,1125.0,Set,9.0,5,6,1.0,1.0,1.0,2.0,1.0,1.2857142857142858
J0002-SKD-L,2022-06-05,2,2250.0,Set,10.0,6,6,1.0,1.0,1.0,1.0,1.3333333333333333,1.4285714285714286
J0002-SKD-L,2022-06-06,3,3375.0,Set,12.0,0,6,2.0,1.0,1.0,1.0,2.0,1.7142857142857142
J0002-SKD-L,2022-06-10,1,1125.0,Set,11.0,4,6,3.0,2.0,2.0,1.0,2.0,1.5714285714285714
